month,BMG
2010-01-31,0.0309989311
2010-02-28,0.0046260053
2010-03-31,-0.0022522523
2010-04-30,-0.1925093633
2010-05-31,0.0342336683
2010-06-30,0.0087804878
2010-07-31,0.06167979
2010-08-31,-0.0818181818
2010-09-30,0.0019392372
2010-10-31,0.0310880829
2010-11-30,0.013447625
2010-12-31,0.0548027102
2011-01-31,-0.0480286738
2011-02-28,-0.0458276334
2011-03-31,-0.0981033355
2011-04-30,0.0232645768
2011-05-31,-0.0097937952
2011-06-30,0.2107487923
2011-07-31,0.0916675775
2011-08-31,-0.0899683125
2011-09-30,0.2047913447
2011-10-31,0.0544217687
2011-11-30,0.1763617677
2011-12-31,0.2076366359
2012-01-31,-0.2771653543
2012-02-29,0.0295226352
2012-03-31,0.1182342905
2012-04-30,-0.030259366
2012-05-31,0.0979020979
2012-06-30,-0.2728682171
2012-07-31,0.1583434836
2012-08-31,-0.1910274964
2012-09-30,0.0546780073
2012-10-31,-0.0449871465
2012-11-30,0.1808118081
2012-12-31,0.0510510511
2013-01-31,0.332278481
2013-02-28,-0.009478673
2013-03-31,-0.1525821596
2013-04-30,0.350305499
2013-05-31,-0.1567398119
2013-06-30,-0.1924119241
2013-07-31,0.0181818182
2013-08-31,-0.0972222222
2013-09-30,-0.0864978903
2013-10-31,0.0563106796
2013-11-30,0.0452674897
2013-12-31,-0.036637931
2014-01-31,-0.1476091476
2014-02-28,-0.1231884058
2014-03-31,-0.0629032258
2014-04-30,0.2701062215
2014-05-31,-0.106029106
2014-06-30,-0.0131578947
2014-07-31,-0.0983302412
2014-08-31,-0.0320945946
2014-09-30,-0.0294599018
2014-10-31,0.0858505564
2014-11-30,-0.1008695652
2014-12-31,-0.083728278
2015-01-31,-0.0495626822
2015-02-28,0.025
2015-03-31,0.0242165242
2015-04-30,-0.0248175182
2015-05-31,-0.0498575499
2015-06-30,-0.0027137042
2015-07-31,-0.0054127199
2015-08-31,-0.0861372813
2015-09-30,0
2015-10-31,-0.0495662949
2015-11-30,-0.0094451004
2015-12-31,0.0912280702
2016-01-31,0.2728442728
2016-02-29,0.1238938053
2016-03-31,-0.0060606061
2016-04-30,-0.2148594378
2016-05-31,0.0066115702
2016-06-30,0.227953411
2016-07-31,-0.0495689655
2016-08-31,0.090349076
2016-09-30,-0.0835214447
2016-10-31,-0.2958333333
2016-11-30,0.2636655949
2016-12-31,-0.2052401747
2017-01-31,0.0525362319
2017-02-28,-0.0458891013
2017-03-31,0.113345521
2017-04-30,0.0742268041
2017-05-31,-0.1380846325
2017-06-30,0.0332681018
2017-07-31,-0.0809716599
2017-08-31,-0.1198501873
2017-09-30,-0.2190635452
2017-10-31,-0.0301783265
2017-11-30,-0.017310253
2017-12-31,-0.0183246073
2018-01-31,-0.1645244216
2018-02-28,-0.1015452539
2018-03-31,-0.3046092184
2018-04-30,-0.0107526882
2018-05-31,-0.1930091185
2018-06-30,0.0191082803
2018-07-31,-0.1357142857
2018-08-31,-0.2029731275
2018-09-30,-0.0175855513
2018-10-31,0.2363381597
2018-11-30,-0.2391437309
2018-12-31,-0.1895360316
