Tickers,Commitment
AMBU-B.CO,Committed
IQV,Committed
EXPN.L,Targets Set
ILMN,Targets Set
2801.T,Committed
LYFT,Committed
DEMANT.CO,Committed
KEYS,Committed
SPK.NZ,Targets Set
6963.T,Committed
NOW,Targets Set
LII,Committed
PH,Committed
FLTR,Committed
0002.HK,Targets Set
4385.T,Committed
4911.T,Targets Set
PLTR,Committed
PEG,Committed
UMI.BR,Committed
ATL.MI,Committed
1299.HK,Committed
ABI.BR,Targets Set
ABN.AS,Committed
ADS.DE,Targets Set
AMD,Targets Set
8267.T,Targets Set
AI.PA,Committed
2802.T,Targets Set
ALV.DE,Committed
ALO.PA,Targets Set
MO,Targets Set
ANTM,Committed
4503.T,Targets Set
T,Targets Set
AIA.NZ,Targets Set
ADSK,Targets Set
AVB,Targets Set
CS.PA,Committed
6845.T,Targets Set
BLL,Targets Set
BARN.SW,Targets Set
BBVA.MC,Committed
BBY,Targets Set
BNP.PA,Committed
BXP,Targets Set
BATS.L,Targets Set
6448.T,Targets Set
6952.T,Targets Set
CLNX.MC,Targets Set
CRL,Targets Set
CL,Targets Set
CAG,Targets Set
COV.PA,Targets Set
ACA.PA,Committed
CCK,Targets Set
CMI,Targets Set
7912.T,Targets Set
4568.T,Targets Set
1878.T,Targets Set
1925.T,Targets Set
BN.PA,Targets Set
4324.T,Targets Set
DBK.DE,Targets Set
4523.T,Targets Set
ERIC-B.ST,Targets Set
9983.T,Targets Set
FER.MC,Targets Set
4901.T,Targets Set
6702.T,Targets Set
GFC.PA,Targets Set
RNO.PA,Targets Set
SK.PA,Targets Set
HLT,Targets Set
6305.T,Targets Set
2638.HK,Targets Set
HST,Targets Set
HSBA.L,Committed
INF.L,Targets Set
INGA.AS,Committed
IHG.L,Targets Set
IFF,Targets Set
INTU,Targets Set
IRM,Targets Set
2914.T,Targets Set
JCI,Targets Set
K,Targets Set
KER.PA,Targets Set
KESKOB.HE,Targets Set
KMB,Targets Set
KGF.L,Targets Set
KRX,Targets Set
4967.T,Committed
6301.T,Targets Set
KNEBV.HE,Targets Set
6971.T,Targets Set
LVS,Targets Set
LBTYA,Targets Set
5938.T,Targets Set
LOGN.SW,Committed
LSEG.L,Targets Set
LULU,Targets Set
MA,Targets Set
MKC,Targets Set
MET,Committed
MGM,Committed
8802.T,Targets Set
TAP,Targets Set
MNDI.L,Targets Set
MOWI.OL,Targets Set
8725.T,Committed
6981.T,Committed
6268.T,Targets Set
NTGY.MC,Committed
NKE,Targets Set
9101.T,Targets Set
NOKIA.HE,Targets Set
NOVN.SW,Targets Set
NOVO-B.CO,Targets Set
ORG.AX,Targets Set
ORK.OL,Targets Set
OC,Targets Set
6752.T,Targets Set
PYPL,Targets Set
PFE,Targets Set
PM,Targets Set
PFG,Committed
PLD,Targets Set
PUB.PA,Targets Set
PUM.DE,Targets Set
RBI.VI,Committed
RKT.L,Targets Set
RSG,Targets Set
CFR.SW,Targets Set
PHIA.AS,Targets Set
SAP.DE,Targets Set
6724.T,Targets Set
4204.T,Targets Set
SGSN.SW,Targets Set
6753.T,Targets Set
1803.T,Targets Set
4507.T,Targets Set
SPG,Targets Set
SKA-B.ST,Targets Set
SK3,Committed
GLE.PA,Committed
SW.PA,Targets Set
8630.T,Committed
STAN.L,Committed
SWK,Targets Set
SBUX,Targets Set
STERV.HE,Targets Set
4005.T,Targets Set
SCMN.SW,Targets Set
TMUS,Targets Set
1801.T,Targets Set
TEL.OL,Targets Set
KO,Targets Set
EL,Targets Set
HSY,Targets Set
SJM,Targets Set
8766.T,Committed
7911.T,Targets Set
6502.T,Targets Set
TSN,Targets Set
UCB.BR,Targets Set
URW.PA,Targets Set
8113.T,Targets Set
UPM.HE,Targets Set
VZ,Targets Set
VOD.L,Targets Set
VOW3.DE,Targets Set
WBC.AX,Committed
WHR,Targets Set
WOW.AX,Targets Set
WLN.PA,Targets Set
7951.T,Targets Set
ZAL.DE,Targets Set
ZURN.SW,Committed
NEM,Targets Set
GIB-A.TO,Targets Set
TRN.MI,Targets Set
COLO-B.CO,Committed
CLN.SW,Targets Set
3231.T,Targets Set
ROCK-B.CO,Targets Set
RMS.PA,Committed
WM,Committed
ZBRA,Committed
VNO,Targets Set
EQT.ST,Targets Set
PCAR,Targets Set
SNAP,Targets Set
JD..L,Committed
EBAY,Targets Set
KSU,Targets Set
T.TO,Targets Set
APTV,Committed
TEP.PA,Targets Set
3626.T,Targets Set
2269.T,Targets Set
ITRK.L,Committed
4536.T,Targets Set
MC.PA,Committed
DVA,Targets Set
LGEN.L,Committed
8801.T,Targets Set
IP,Targets Set
5332.T,Targets Set
HRL,Committed
LLC.AX,Committed
3382.T,Committed
YAR.OL,Committed
JDEP.AS,Committed
9434.T,Targets Set
AAP,Committed
NTR.TO,Committed
CARR,Committed
ENR.DE,Targets Set
NSC,Targets Set
IPG,Committed
MG.TO,Committed
HD,Committed
NDAQ,Committed
MCK,Committed
LW,Committed
LEG.DE,Committed
CTXS,Committed
GBLB.BR,Committed
GET.PA,Targets Set
CTVA,Committed
VST,Committed
SEE,Targets Set
WDC,Targets Set
WRK,Committed
SRG.MI,Committed
ABC,Committed
ABBV,Committed
BCE.TO,Committed
EQIX,Targets Set
6723.T,Committed
UBI.PA,Committed
DOV,Targets Set
9719.T,Targets Set
BIM.PA,Targets Set
3003.T,Committed
ILD.PA,Committed
S68.SI,Committed
NTAP,Committed
UDR,Committed
